file_name,file_name_range,visually_inferred_range,status,confidence,notes,image_reference
1781-1782.pdf,1781-1782,1781-1782,match,medium,"Visually consistent with 1781 to 1782, but the crop is denser and less clean than adjacent years.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1781-1782_full.jpg"
1782-1783.pdf,1782-1783,1782-1783,match,medium,"Header appears consistent with 1782 to 1783.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1782-1783_full.jpg"
1783-1784.pdf,1783-1784,1783-1784,match,high,"Header visually shows 1783 to 1784.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1783-1784_full.jpg"
1784-1785.pdf,1784-1785,1784-1785,match,high,"Header visually shows 1784 to 1785.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1784-1785_full.jpg"
1785-1786.pdf,1785-1786,1785-1786,match,high,"Header visually shows 1785 to 1786.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1785-1786_full.jpg"
1786-1787.pdf,1786-1787,1786-1787,match,high,"Header visually shows 1786 to 1787.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1786-1787_full.jpg"
1787-1788.pdf,1787-1788,1787-1788,match,high,"Header visually shows 1787 to 1788.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1787-1788_full.jpg"
1788-1789.pdf,1788-1789,1788-1789,match,high,"Header visually shows 1788 to 1789.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1788-1789_full.jpg"
1789-1790.pdf,1789-1790,1789-1790,match,high,"Header visually shows 1789 to 1790.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1789-1790_full.jpg"
1790-1791.pdf,1790-1791,1790-1791,match,high,"Header visually shows 1790 to 1791.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1790-1791_full.jpg"
1791-1792.pdf,1791-1792,1791-1792,match,high,"Header visually shows 1791 to 1792.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1791-1792_full.jpg"
1792-1793.pdf,1792-1793,1792-1793,match,high,"Header visually shows 1792 to 1793.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1792-1793_full.jpg"
1793-1794.pdf,1793-1794,1793-1794,match,high,"Header visually shows 1793 to 1794.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1793-1794_full.jpg"
1794-1795.pdf,1794-1795,1794-1795,match,high,"Header visually shows 1794 to 1795.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1794-1795_full.jpg"
1795-1796.pdf,1795-1796,1795-1796,match,high,"Header visually shows 1795 to 1796.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1795-1796_full.jpg"
1796-1797.pdf,1796-1797,1796-1797,match,high,"Header visually shows 1796 to 1797.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1796-1797_full.jpg"
1797-1798.pdf,1797-1798,1797-1798,match,high,"Header visually shows 1797 to 1798.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1797-1798_full.jpg"
1798-1799.pdf,1798-1799,1798-1799,match,high,"Header visually shows 1798 to 1799.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1798-1799_full.jpg"
1799-1800.pdf,1799-1800,1799-1800,match,high,"Header visually shows 1799 to 1800.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1799-1800_header.jpg"
