description_norm,n_occurrences,n_years,first_year,last_year,sample_text,first_era
bibliotheca c,1,1,1750,1750,Bibliotheca &c.,pre_1760
bibliothecario,1,1,1743,1743,Bibliothecario,pre_1760
biddulph cocks co,1,1,1810,1810,Biddulph Cocks & Co,industrial_1760_1840
bills allowed jn faulkner s nelson,1,1,1845,1845,Bills allowed Jn Faulkner S. Nelson,post_1840
bills at clifton ferry,1,1,1849,1849,Bills at Clifton Ferry,post_1840
bills for repairs on college estates viz,1,1,1837,1837,Bills for repairs on College Estates Viz.,industrial_1760_1840
bills other dues on the college acct in the,1,1,1823,1823,Bills & Other Dues on the College Acct. in the,industrial_1760_1840
blover,1,1,1845,1845,Blover,post_1840
blowen,1,1,1848,1848,Blowen,post_1840
blower,1,1,1847,1847,Blower —,post_1840
blower 1833,1,1,1842,1842,Blower 1833,post_1840
bodenham ffre,1,1,1723,1723,Bodenham Ffre.,pre_1760
bonus payments,1,1,1881,1881,Bonus Payments,post_1840
brain,1,1,1873,1873,Brain,post_1840
brevitatis causa scrip of ground in coll trinit,1,1,1852,1852,Brevitatis causa - Scrip of Ground in Coll. Trinit.,post_1840
brought forward,1,1,1855,1855,Brought forward,post_1840
brought over,1,1,1743,1743,brought over,pre_1760
brs gover 1439 173,1,1,1823,1823,Brs. Gover 1439 173,industrial_1760_1840
burfary expensi coll et rola domug,1,1,1723,1723,Burfary & Expensi Coll: et Rola Domug,pre_1760
burs pro imp nota dom c,1,1,1730,1730,Burs: pro Imp: Nota Dom: &c,pre_1760
bursar entrances,1,1,1878,1878,Bursar Entrances,post_1840
bursaries,1,1,1754,1754,Bursaries,pre_1760
bursariis pro imp coll et nota domus,1,1,1733,1733,Bursariis pro Imp: Coll: et Nota Domus.,pre_1760
bursariis pro jun coll c not domus,1,1,1735,1735,Bursariis pro jun. Coll. C. Not. Domus.,pre_1760
bursarij pro decrem bom s,1,1,1746,1746,Bursarij pro Decrem. Bomûs,pre_1760
bursarij pro sacrement domus,1,1,1747,1747,Bursarij pro Sacrement. Domus,pre_1760
bursarijs,1,1,1737,1737,Bursarijs,pre_1760
bursarijs imponijs cell et nota domus,1,1,1713,1713,Bursarijs & Imponijs Cell et nota Domus,pre_1760
bursarijs pro decem domu,1,1,1750,1750,Bursarijs pro Decem: Domuñ.,pre_1760
bursaris pro dec domus,1,1,1738,1738,Bursaris pro dec: domus,pre_1760
bursarius sub nom decrm domus,1,1,1752,1752,Bursarius sub Nom: Decrm: Domus.,pre_1760
bursary impensis coll nota domas,1,1,1727,1727,Bursary & Impensis Coll: Nota Domas —,pre_1760
bursary impresij col rota dominj,1,1,1728,1728,Bursary & Impresij Col. Rota Dominj,pre_1760
bursary imprest coll inda domus,1,1,1724,1724,Bursary & Imprest coll. & Inda Domus,pre_1760
bursary impropris colla et nota donus,1,1,1725,1725,Bursary & Impropris Colla Et Nota Donus,pre_1760
bursary s p impensys coll et nota domus,1,1,1716,1716,Bursary's p impensys Coll. et nota Domus,pre_1760
bursarys p jurispofiti coll et nota domus,1,1,1717,1717,Bursarys p Jurispofiti Coll. et nota Domus,pre_1760
bursarys pro dec domus,1,1,1742,1742,Bursarys pro Dec: Domus,pre_1760
bursarys pro impensis not dom,1,1,1712,1712,Bursarys pro Impensis not Dom.,pre_1760
bushey divds,1,1,1876,1876,Bushey Divds,post_1840
bushey trust,1,1,1883,1883,Bushey Trust,post_1840
buskey trust,1,1,1884,1884,Buskey Trust.,post_1840
butts and increments,1,1,1705,1705,Butts and increments,pre_1760
by sproor,1,1,1879,1879,by sproor.,post_1840
by us,1,1,1863,1863,by us.,post_1840
c l price fellow,1,1,1879,1879,C. L. Price. Fellow.,post_1840
c pitreaux,1,1,1718,1718,C. Pitreaux,pre_1760
c trusts,1,1,1885,1885,C. Trusts,post_1840
c w boose fellow,1,1,1869,1869,C.W. Boose Fellow,post_1840
c w bover fellow,1,1,1873,1873,C W Bover. Fellow,post_1840
can webber s s b,1,1,1752,1752,Can: Webber S.S.B.,pre_1760
cana vespenalis,1,1,1749,1749,Cana Vespenalis,pre_1760
canden dni revolutam 1725,1,1,1728,1728,Canden Dni. Revolutam 1725,pre_1760
candlles,1,1,1700,1700,Candlles,pre_1760
cane seporali,1,1,1752,1752,Cane Seporali,pre_1760
canon ad fest cons,1,1,1867,1867,Canon: ad fest Cons:,post_1840
cap balance last,1,1,1841,1841,Cap Balance Last,post_1840
capel work at cottages,1,1,1848,1848,Capel work at Cottages ---,post_1840
capital account ii,1,1,1885,1885,Capital Account II,post_1840
car webber,1,1,1734,1734,Car: Webber,pre_1760
car webber a m,1,1,1744,1744,Car: Webber A.M.,pre_1760
car webber bur jun,1,1,1741,1741,Car. Webber Bur: Jun:,pre_1760
car webber bur junr,1,1,1735,1735,Car. Webber Bur. Junr.,pre_1760
car webber s j b,1,1,1746,1746,Car: Webber S. J. B,pre_1760
carolus webber p j b,1,1,1745,1745,Carolus Webber P. J. B.,pre_1760
carter scholarships,1,1,1889,1889,Carter Scholarships,post_1840
cash in acct,1,1,1842,1842,Cash in acct.,post_1840
cena caeporialis,1,1,1750,1750,Cena Caeporialis.,pre_1760
chacchill,1,1,1708,1708,chacchill,pre_1760
chancery div on compensation for land taken from allgeatum by oxford rugby railway,1,1,1848,1848,Chancery Div. on compensation for land taken from Allgeatum by Oxford & Rugby Railway,post_1840
channing bilects income,1,1,1861,1861,Channing = Bilects Income,post_1840
chapel fund 7 6 6,1,1,1861,1861,Chapel Fund . . 7.6.6,post_1840
charles h price fellow,1,1,1882,1882,Charles H. Price. Fellow.,post_1840
charles w bowser fellow,1,1,1859,1859,Charles W. Bowser Fellow,post_1840
charles w brass fellow,1,1,1857,1857,Charles W Brass Fellow,post_1840
charles william benson fellow,1,1,1877,1877,Charles William Benson Fellow,post_1840
chas g c price,1,1,1866,1866,Chas. G. C. Price.,post_1840
church building socty diocesan,1,1,1865,1865,Church Building Socty Diocesan,post_1840
church rate at st michaels on city premises 2 rates,1,1,1848,1848,"Church rate at St Michaels, on City premises, 2 rates",post_1840
civitali oton,1,1,1850,1850,Civitali Oton,post_1840
civitate leon,1,1,1810,1810,Civitate Leon:,industrial_1760_1840
civitate oxon 1 3 2,1,1,1878,1878,Civitate Oxon 1. 3. 2,post_1840
civitate oxon strip of ground in coll prat,1,1,1847,1847,Civitate Oxon: --- strip of ground in Coll. prat,post_1840
civitati oxon et collegiis,1,1,1827,1827,Civitati Oxon: et Collegiis.,industrial_1760_1840
civitati oxon stip of ground in ch fept,1,1,1848,1848,Civitati Oxon: ----- Stip. of ground in Ch: fept.,post_1840
civitati oxon strip of ground in coll front,1,1,1851,1851,Civitati Oxon - strip of ground in Coll: front,post_1840
civitati reon ships of ground in hill part,1,1,1849,1849,Civitati. Reon ... ships of ground in hill part,post_1840
civitati soluta ordinaria,1,1,1707,1707,Civitati Soluta ordinaria,pre_1760
clifton ferry,1,1,1700,1700,Clifton-Ferry,pre_1760
clinkard,1,1,1859,1859,Clinkard,post_1840
clinkard thatching,1,1,1862,1862,(Clinkard Thatching),post_1840
clinkard thatdwing,1,1,1861,1861,Clinkard - Thatdwing,post_1840
cocks co bankers london,1,1,1800,1800,"Cocks & Co. Bankers, London",industrial_1760_1840
cocks ridge co bankers london,1,1,1801,1801,"Cocks, Ridge & Co. Bankers, London",industrial_1760_1840
coll ball,1,1,1817,1817,Coll. Ball,industrial_1760_1840
collecta ordinaria continued,1,1,1821,1821,Collecta Ordinaria. continued.,industrial_1760_1840
college bills,1,1,1854,1854,College Bills,post_1840
college gardener xmas 6 3,1,1,1866,1866,College Gardener xmas 6.3,post_1840
college gardner,1,1,1860,1860,College Gardner,post_1840
collegii exoniensis rectoris a 2,1,1,1807,1807,Collegii Exoniensis Rectoris a 2,industrial_1760_1840
collegii exoniensis rectoris a 2 die,1,1,1805,1805,"Collegii Exoniensis Rectoris, a 2. die",industrial_1760_1840
collegii exoniensis rectoris a 2do die novembris a d 1806 ad eundem diem revolutum a d 1807,1,1,1806,1806,"Collegii Exoniensis, Rectoris a 2do die Novembris A.D. 1806, ad eundem diem revolutum A.D. 1807.",industrial_1760_1840
collegii exoniensis rectoris a secundo die novembris a d 1800 ad eundem diem revolutum a d 1801 a h,1,1,1800,1800,Collegii Exoniensis Rectoris a secundo die Novembris A. D. 1800 ad eundem diem revolutum A. D. 1801. A. H.,industrial_1760_1840
colley gardener,1,1,1864,1864,Colley Gardener.,post_1840
com prizes,1,1,1870,1870,Com prizes,post_1840
combus joannis boke coll econ rectory al 2do die novembris 1815 ad eundum diem revolutum a d 1816,1,1,1816,1816,Combus Joannis boke coll: Econ: Rectory al 2do Die Novembris 1815 ad eundum Diem revolutum A. D. 1816,industrial_1760_1840
common library,1,1,1716,1716,Common & Library,pre_1760
commoner s library,1,1,1745,1745,Commoner's Library,pre_1760
commoners lib,1,1,1743,1743,Commoners Lib.,pre_1760
commoners lib benefs,1,1,1741,1741,Commoners Lib. & Benefs,pre_1760
commoners library of,1,1,1710,1710,Commoners Library of,pre_1760
commonors library,1,1,1712,1712,Commonors Library,pre_1760
comoners library,1,1,1711,1711,Comoners Library,pre_1760
comp utati us d i e rectoris a 2do die nov em b e r 1816 ad s an c t am dim idiam an n i 1817,1,1,1816,1816,Comp[utati]us D[i]e Rectoris A 2do Die Nov[em]b[e]r 1816 ad S[an]c[t]am Dim[idiam] An[n]i 1817 –,industrial_1760_1840
companies,1,1,1854,1854,Companies -,post_1840
compensation to d no charle fellow,1,1,1856,1856,"Compensation to D.no Charle, Fellow",post_1840
compertus comprobatus per nos,1,1,1853,1853,Compertus Comprobatus per nos,post_1840
compituitus johannis cole collegii,1,1,1808,1808,Compituitus Johannis Cole Collegii,industrial_1760_1840
composition fund,1,1,1883,1883,Composition Fund,post_1840
compotns mri holt rectoris a decemb di novembr 1726,1,1,1728,1728,Compotns Mri Holt Rectoris a Decemb. di novembr 1726,pre_1760
compotus d i rectoris j c jones a 2do die novembris 1837 ad eundem diem revolutionis a d 1838,1,1,1837,1837,Compotus Dñi Rectoris J. C. Jones a 2do die Novembris 1837. ad eundem diem revolutionis A. D. 1838.,industrial_1760_1840
compotus dni rectoris j l richards,1,1,1841,1841,Compotus Dni Rectoris J L Richards,post_1840
compotus geo paynter rectoris a secundo,1,1,1713,1713,Compotus Geo. Paynter Rectoris a Secundo,pre_1760
comptus collegij a secundo die novem bris 1728 ad eanden diem revolutionum,1,1,1729,1729,Comptus Collegij a Secundo Die novem bris 1728 ad eanden Diem Revolutionum.,pre_1760
comptus gu paynter r a secundo die novembrj 1709 ad,1,1,1710,1710,Comptus Gu: Paynter Rʳⁱˢ a secundo die Novembrj 1709. ad,pre_1760
compu us math hole rectorisg a secunda die novembr 1725 ad eundem diem broxholom 1727,1,1,1727,1727,Compuťus Math: Hole Rectorisg a Secunda Die Novembr 1725 ad eundem Diem Broxholom 1727.,pre_1760
computa approbatus per praesentis vir fran webber rectorem,1,1,1752,1752,Computa approbatus per praesentis vir: Fran: Webber Rectorem.,pre_1760
computante,1,1,1763,1763,Computante.,industrial_1760_1840
computary rectors a 2do die novembris 1761 ad eundem diem revolutum 1762,1,1,1762,1762,Computary Rectors a 2do Die Novembris 1761 ad eundem Diem Revolutum 1762.,industrial_1760_1840
computas dni rectoris i c jones,1,1,1821,1821,Computas Dni Rectoris. I. C. Jones.,industrial_1760_1840
computas jac decombe rectory,1,1,1746,1746,Computas Jac. Decombe Rectory,pre_1760
computas math hole rectoria a secundo die,1,1,1720,1720,Computas Math. Hole Rectoria a secundo Die,pre_1760
computas matth hole rectoris a secunda die novembris 1722,1,1,1723,1723,Computas Matth: Hole Rectoris a secunda Die Novembris 1722,pre_1760
computas matth hole rectoris a secundo die novembris 1717 ad eundem diem revoluitum 1718,1,1,1718,1718,Computas Matth. Hole Rectoris a secundo Die Novembris 1717 ad eundem diem revoluitum 1718,pre_1760
computas matth hole rectory a secundo die,1,1,1716,1716,Computas Matth: Hole Rectory a secundo die,pre_1760
computat math hoole rectories a secunda die novembris 1723,1,1,1724,1724,Computat Math: Hoole Rectories a secunda Die Novembris 1723,pre_1760
computat mattr g ph rodons rectorie a funda dic novenbary 1725 ad eundem diem october 1726,1,1,1726,1726,Computat Mattr. G.ph. Rodons Rectorie a funda dic Novenbary 1725 ad eundem diem October 1726.,pre_1760
computatio comparationis per hoc presentor,1,1,1767,1767,Computatio comparationis per hoc Presentor,industrial_1760_1840
computatur joannis ole a d 1810,1,1,1810,1810,"Computatur Joannis Ole, ... A.D. 1810",industrial_1760_1840
computatus comprobatio per nos,1,1,1852,1852,Computatus Comprobatio per nos.,post_1840
computatus comprobatur hoc non,1,1,1810,1810,Computatus comprobatur hoc non,industrial_1760_1840
computis comprobatis per nos pr sentes,1,1,1766,1766,Computis comprobatis per Nos Præsentes,industrial_1760_1840
computum approbatus per proponentes,1,1,1754,1754,Computum approbatus per Proponentes,pre_1760
computus approbati per presentes viz,1,1,1755,1755,Computus approbati per Presentes viz:,pre_1760
computus approbatus per pr sentes viz,1,1,1753,1753,Computus approbatus per præsentes viz,pre_1760
computus approbatus per pr sentis vir fran webber rectorem,1,1,1756,1756,Computus approbatus per Præsentis vir: Fran: Webber Rectorem.,pre_1760
computus collegii a secundo die novembris 1728 ad eundem diem revolutionis 1729,1,1,1729,1729,Computus Collegii a secundo die Novembris 1728 ad eundem diem revolutionis 1729,pre_1760
computus collegii a secundo die novembris 1729 ad eundem diem revs autumn arrearagia,1,1,1730,1730,Computus Collegii a Secundo Die Novembris 1729 ad Eundem diem Revs Autumn. & Arrearagia,pre_1760
computus collegij a secundo die novembris 1725,1,1,1726,1726,Computus Collegij a Secundo Die Novembris 1725,pre_1760
computus collegij a secundo die novembris 1726 ad eundem diem revolutionis,1,1,1727,1727,Computus collegij a secundo Die Novembris 1726 Ad eundem Diem revolutionis.,pre_1760
computus collegij a secundo die novembris 1727 ad eundem diem revolutum,1,1,1728,1728,Computus Collegij a Secundo Die Novembris 1727 ad eundem Diem Revolutum.,pre_1760
computus completatus per nos,1,1,1814,1814,Computus completatus per nos:,industrial_1760_1840
computus comprobatum,1,1,1808,1808,Computus comprobatum,industrial_1760_1840
computus comprobatum per nos,1,1,1829,1829,Computus comprobatum per Nos.,industrial_1760_1840
computus comprobatus per no1,1,1,1807,1807,Computus Comprobatus per No1,industrial_1760_1840
computus comprobatus per nos pr sentes se,1,1,1765,1765,Computus comprobatus per nos Præsentes se:,industrial_1760_1840
computus comprobatus per nos praesentes viz,1,1,1764,1764,"Computus comprobatus per nos Praesentes, viz:",industrial_1760_1840
computus computatur per nos,1,1,1850,1850,Computus computatur per nos,post_1840
computus d i rectoris j c jones,1,1,1834,1834,Computus Dñi Rectoris J. C. Jones,industrial_1760_1840
computus d o rectoris s c jones,1,1,1831,1831,Computus D^o Rectoris S. C. Jones,industrial_1760_1840
computus de anno ile l c dom rectoris,1,1,1817,1817,Computus de Anno (ile. L.C. Dom. Rectoris),industrial_1760_1840
computus dn i rectoris s c iones,1,1,1835,1835,Computus Dñi Rectoris S. C. Iones,industrial_1760_1840
computus dni i c jones,1,1,1828,1828,Computus Dni. I. C. Jones.,industrial_1760_1840
computus dni rectoris a 2do die nov 1815,1,1,1815,1815,Computus Dni Rectoris a 2do Die Nov: 1815,industrial_1760_1840
computus dni rectoris a 2do die novembris 1812,1,1,1812,1812,Computus Dni Rectoris a 2do Die Novembris 1812,industrial_1760_1840
computus dni rectoris a 2do die novembris 1813,1,1,1813,1813,computus Dni Rectoris a 2do Die Novembris 1813,industrial_1760_1840
computus dni rectoris a 2do die novr 1814,1,1,1814,1814,Computus Dni Rectoris a 2do Die Novr 1814,industrial_1760_1840
computus dni rectoris i l richards,1,1,1843,1843,Computus Dni Rectoris I. L. Richards,post_1840
computus dni rectoris i p lightfoot a 2do die novembris a d 1855 ad eundem diem revo lubens a d 1856,1,1,1856,1856,Computus Dni Rectoris I. P. Lightfoot a 2do die Novembris A.D. 1855 ad eundem diem revo lubens A.D. 1856.,post_1840
computus dni rectoris j l richards a 2d die novr ad 1850 ad eundem diem revolution ad 1851,1,1,1850,1850,Computus Dni. Rectoris J. L. Richards a 2d die Novr AD 1850 ad eundem diem revolution AD 1851,post_1840
computus dni rectoris j l richards a 2o die novembris a d 1851 ad eundem diem revolutionem a d 1852,1,1,1852,1852,"Computus Dni Rectoris J. L. Richards a 2o die Novembris A. D. 1851, ad eundem diem revolutionem A. D. 1852.",post_1840
computus dni rectoris j p l et f fove,1,1,1855,1855,Computus Dni Rectoris J. P. L. et F. fove,post_1840
computus dni rectoris j p palishford a 2do die novembris a d 1853 ad eundem diem revolutum a d 1854,1,1,1854,1854,Computus Dni Rectoris J. P. Palishford a 2do die Novembris A.D. 1853 ad eundem diem revolutum a D. 1854.,post_1840
computus dni rectoris j p richan,1,1,1849,1849,Computus Dni Rectoris J. P. Richan,post_1840
computus dni rectoris johannis collier jones,1,1,1819,1819,Computus Dni Rectoris. Johannis Collier Jones.,industrial_1760_1840
computus dno rectoris j c jones,1,1,1830,1830,Computus Dno Rectoris J. C. Jones,industrial_1760_1840
computus dno rectoris s c jonas,1,1,1829,1829,Computus Dno Rectoris S. C. Jonas.,industrial_1760_1840
computus domni rectoris a 2do die nods 1818,1,1,1818,1818,Computus Domni Rectoris a 2do Die Nods: 1818.,industrial_1760_1840
computus francisci robert,1,1,1764,1764,Computus Francisci Robert.,industrial_1760_1840
computus francisci webber rector in a 2d die november 1766 ad eundem diem revolution 1769,1,1,1767,1767,Computus Francisci Webber Rector in a 2d die November 1766 ad eundem diem revolution 1769.,industrial_1760_1840
computus francisci webber rectoris 2do die novombris 1752 ad eundem diem revolutum 1753,1,1,1753,1753,Computus Francisci Webber Rectoris à 2do Die Novombris 1752 ad eundem Diem revolutum 1753.,pre_1760
computus francisci webber rectoris a 2do die novembris 1753 ad eundem diem revolution 1754,1,1,1754,1754,Computus Francisci Webber Rectoris a 2do Die Novembris 1753 ad eundem Diem revolution 1754.,pre_1760
computus francisci webber rectoris a 2do die novembris 1765 ad eundem diem revolutione 1766,1,1,1766,1766,Computus Francisci Webber Rectoris a 2do die Novembris 1765. ad eundem diem revolutione 1766.,industrial_1760_1840
computus francisci webber rectoris a do qie,1,1,1755,1755,Computus Francisci Webber Rectoris a & Do. qie,pre_1760
computus francisci webber rectory,1,1,1752,1752,Computus Francisci Webber Rectory,pre_1760
computus francisci webber rectory a 2do die novembris 1762 ad eundem diem revolutione 1763,1,1,1763,1763,Computus Francisci Webber Rectory a 2do Die Novembris 1762 ad eundem Diem revolutione 1763.,industrial_1760_1840
computus francisci wolbor rectoris 2do die novembris 1757 ad eundem diem revolutum 1758,1,1,1758,1758,Computus Francisci Wolbor Rectoris à 2do die Novembris 1757 ad eundem Diem revolutum 1758.,pre_1760
computus geo payter rectoris a secunde die novemb 1708 ad eodem diem 1709,1,1,1709,1709,Computus Geo. Payter Rectoris a secunde die Novemb. 1708 ad eodem diem 1709.,pre_1760
computus gu paynser r is a 2do die novem 1702 ad eundem diem 1703,1,1,1703,1703,Computus Gu: Paynser R is a 2do die Novem.1702 ad eundem diem 1703.,pre_1760
computus gu paynter aris a 2do die novembris 1700 ad eundem diem 1701,1,1,1700,1700,Computus Gu: Paynter aris a 2do die novembris 1700 ad eundem diem 1701.,pre_1760
computus gu paynter rectoris a secundo die novembris 1704 ad eundem diem 1705,1,1,1705,1705,"Computus Gu: Paynter Rectoris a secundo die Novembris, 1704 ad eundem diem 1705.",pre_1760
computus gu paynter rectoris a secundo die novembris 1705 ad eundem diem 1706,1,1,1706,1706,Computus Gu. Paynter Rectoris a Secundo die Novembris 1705. ad eundem diem 1706.,pre_1760
computus gu paynter rectoris a secundo novemb 1706 ad eundem diem revolution 1707,1,1,1707,1707,Computus Gu: Paynter Rectoris a Secundo Novemb: 1706 ad eundem diem revolution 1707.,pre_1760
computus gu paynter rectory a secundo die,1,1,1704,1704,Computus Gu: Paynter Rectory a secundo die,pre_1760
computus gu paynter rrs a 2do die novembris 1700 ad eundem diem 1701,1,1,1701,1701,Computus Gu: Paynter Rrs a 2do die novembris 1700 ad eundem diem 1701.,pre_1760
computus gui paynter rri a secundo die novembris 1709 ad eundem diem 1702,1,1,1702,1702,Computus Gui: Paynter RRi a secundo die Novembris 1709 ad eundem diem 1702.,pre_1760
computus gul paynter rectoris a secundo die novembris 1714 ad eundem diem revolutum 1715,1,1,1715,1715,Computus Gul. Paynter Rectoris a Secundo Die Novembris 1714 ad eundem diem revolutum 1715,pre_1760
computus gul paynter rectoris a secundo dis,1,1,1714,1714,Computus Gul: Paynter Rectoris a Secundo Dis,pre_1760
computus gul paynter rvs a secundo die novembris 1710 ad cundem diem revolutu 1711,1,1,1711,1711,Computus Gul. Paynter Rvs a secundo die Novembris 1710 ad cundem diem revolutu 1711.,pre_1760
computus gul zaynter rectoris secundo die novembris 1711 ad eundem diem 1712,1,1,1712,1712,Computus Gul: Zaynter Rectoris secundo die Novembris 1711. ad eundem diem 1712.,pre_1760
computus gw paynter rectorys a secundo die novemb 1707 ad eundem diem revolutum 1708,1,1,1708,1708,Computus Gw: Paynter Rectorys a secundo die novemb' 1707 ad eundem diem revolutum 1708.,pre_1760
computus henrici richards collegii exoniensis rectoris a 2do die novembris a d 1803 ad eundem diem revolutum a d 1804,1,1,1803,1803,Computus Henrici Richards Collegii Exoniensis Rectoris a 2do die Novembris A.D. 1803 ad eundem diem revolutum A.D. 1804,industrial_1760_1840
computus henrici richards collegii exoniensis rectoris a secundo die novembris a d 1802 ad eundem diem revolutum a d 1803,1,1,1802,1802,Computus Henrici Richards Collegii Exoniensis Rectoris a secundo die Novembris A.D. 1802 ad eundem diem revolutum A.D. 1803,industrial_1760_1840
computus ioannis cole collegii exoniensis rectoris,1,1,1812,1812,Computus Ioannis Cole Collegii Exoniensis Rectoris,industrial_1760_1840
computus ioannis conybeare rectoris a secundo die novembris 1731 ad eundem diem resolutum 1732,1,1,1732,1732,Computus Ioannis Conybeare Rectoris a secundo Die Novembris 1731. ad eundem Diem resolutum 1732.,pre_1760
computus jac begcumbe rectors,1,1,1745,1745,Computus Jac. Begcumbe Rectors.,pre_1760
computus jacobi begcombe rectoris,1,1,1741,1741,Computus Jacobi Begcombe Rectoris,pre_1760
computus jacobi edgcumbe rectoris,1,1,1749,1749,Computus Jacobi Edgcumbe Rectoris,pre_1760
computus jacobi edgecombe rectoris,1,1,1743,1743,Computus Jacobi Edgecombe Rectoris,pre_1760
computus jacobi edgecumbe rectoris,1,1,1738,1738,Computus Jacobi Edgecumbe Rectoris,pre_1760
computus jacobi edgembe rectoris,1,1,1740,1740,Computus Jacobi Edgembe Rectoris,pre_1760
computus jacobi egccumbe rectoris,1,1,1747,1747,Computus Jacobi Egccumbe Rectoris.,pre_1760
computus jacobi egrembe rectoris a secundo die novembris 1738 ad eundem diem revolutionis 1739,1,1,1739,1739,Computus Jacobi Egrembe Rectoris a secundo Die Novembris 1738 ad eundem Diem Revolutionis 1739.,pre_1760
computus jacobi regcombe rectoris admisso die novembris 1747 ad eundem diem revolution 1748,1,1,1748,1748,Computus Jacobi Regcombe Rectoris admisso Die Novembris 1747. ad eundem Diem Revolution 1748.,pre_1760
computus jacobi regembe rectoris,1,1,1737,1737,Computus Jacobi Regembe Rectoris,pre_1760
computus jacobi rogcumbe rectoris a secundo die novembris 1741 ad eundem diem revolutum 1742,1,1,1742,1742,Computus Jacobi Rogcumbe Rectoris a Secundo Die Novembris 1741 ad eundem Diem revolutum 1742.,pre_1760
computus jacobi roguemb e rectoris,1,1,1744,1744,Computus Jacobi Roguemb(e) Rectoris,pre_1760
computus jo atwell rectoris a 2do die novembris 1730,1,1,1736,1736,Computus Jo: Atwell Rectoris a 2do die Novembris 1730,pre_1760
computus jo atwell rectoris a 2do die novembris 1734 ad secundum diem novembris 1735,1,1,1735,1735,Computus Jo: Atwell Rectoris a 2do Die Novembris 1734 ad secundum diem novembris 1735.,pre_1760
computus joanis cole colleg oxoniensis rec toris a 2do die novembris 1811 ad eundum diem revolutum a d 1812,1,1,1811,1811,"computus Joanis Cole Collegü Oxoniensis Rec- toris, a 2do Die Novembris 1811 ad eundum Diem revolutum A. D. 1812",industrial_1760_1840
computus joannis cole coll exon rectoris a 2do die novembris 1813 ad eundem diem revolutum a d 1814,1,1,1813,1813,Computus Joannis Cole Coll: Exon: Rectoris a 2do die Novembris 1813 ad eundem diem revolutum A.D. 1814,industrial_1760_1840
computus joannis cole coll socr,1,1,1814,1814,"Computus Joannis Cole, Coll: Socr:",industrial_1760_1840
computus joannis cole collegii exoniensis rectoris a 2do die novembris 1811 ad eundem diem revolutum a d 1812,1,1,1811,1811,Computus Joannis Cole Collegii Exoniensis Rectoris a 2do Die Novembris 1811 ad eundem Diem revolutum A.D. 1812,industrial_1760_1840
computus joannis cole collegii exonionsis rectoris a 2do die novembris a d 1808 ad eundem diem revolutum a d 1809,1,1,1809,1809,computus Joannis Cole Collegii Exonionsis Rectoris a 2do die Novembris A.D. 1808 ad eundem diem revolutum A.D. 1809,industrial_1760_1840
computus joannis cole collegii soniensis rectoria a d die novembris a d 1809 ad eundem diem revolutum a d 1810,1,1,1809,1809,Computus Joannis Cole collegii Soniensis Rectoria a.d. die Novembris A.D. 1809 ad eundem diem revolutum A.D. 1810,industrial_1760_1840
computus joannis corybeare rectoris a secundo die novembris 1729 ad eundem diem revolutum 1730,1,1,1730,1730,Computus Joannis Corybeare Rectoris a secundo Die Novembris 1729 ad eundem diem revolutum 1730.,pre_1760
computus joannis longbeare rectoris a die novembris 1730 ad eundem diem revolutum 1731,1,1,1731,1731,Computus Joannis Longbeare Rectoris a die Novembris 1730 ad eundem diem revolutum 1731,pre_1760
computus johannis cole coll decan rectoris a 2do die novembris 1816 ad eundem diem revolutum a d 1817,1,1,1817,1817,"computus Johannis Cole Coll: Decan Rectoris, a 2do die Novembris 1816 ad eundem diem revolutum A.D. 1817",industrial_1760_1840
computus johannis cole collegii canonici rectoria 2do die novembris a d 1799 ad eundem diem revolutum a d 1800,1,1,1807,1807,Computus Johannis Cole Collegii Canonici Rectoria 2do die Novembris A.D. 1799 ad eundem diem revolutum A.D. 1800,industrial_1760_1840
computus johannis cole collegii exoniensis,1,1,1810,1810,Computus Johannis Cole Collegii Exoniensis,industrial_1760_1840
computus johannis cole collegii exoniensis rectoris a 2do die novembris a d 1807 ad eundem diem revolutum a d 1808,1,1,1808,1808,Computus Johannis Cole Collegii Exoniensis Rectoris a 2do die Novembris A.D. 1807 ad eundem diem revolutum A.D. 1808,industrial_1760_1840
computus johannis cole collegii rectoris a 2do die septembris 1810 ad eundem diem revolutum a d 1811,1,1,1810,1810,Computus Johannis Cole Collegii Rectoris a 2do Die Septembris 1810 ad eundem diem revolutum A.D. 1811,industrial_1760_1840
computus josephi attwell rectoris a secundo die novembris,1,1,1733,1733,Computus Josephi Attwell Rectoris a secundo die Novembris,pre_1760
computus josephi atwell rectoris a 2do die novembris 1733 ad eundem diem revolutum 1734,1,1,1734,1734,Computus Josephi Atwell Rectoris a 2do die Novembris 1733 ad eundem diem revolutum. 1734.,pre_1760
computus math hole rectoriq a secunda die novembris 1724,1,1,1725,1725,Computus Math: Hole. Rectoriq a Secunda Die Novembris 1724,pre_1760
computus math hole rectory a pondo die,1,1,1719,1719,Computus Math. Hole Rectory a pondo Die,pre_1760
computus matth hole doctoris a secundo die novembris 1715 ad eundem diem revolutum 1717,1,1,1717,1717,Computus Matth: Hole Doctoris a secundo Die Novembris 1715 ad eundem diem revolutum 1717.,pre_1760
computus pr dictus examinatus approbatus,1,1,1739,1739,Computus prædictus examinatus & Approbatus,pre_1760
